COUNT_time,drivinstage,turn,omega,hsv.val,distance,gyro_deg
2656,100,0,1,20,255,0
2660,100,0,1,20,255,0
2664,100,0,1,20,255,0
2668,100,0,1,20,255,0
2672,100,-5,1,21,255,0
2676,100,-3,1,21,255,0
2680,100,-3,1,21,255,0
2684,100,-3,1,21,255,0
2688,100,-3,1,21,255,0
2692,100,-3,1,21,255,0
2696,100,-3,1,21,255,0
2700,100,-3,1,21,255,0
2704,100,-3,1,21,255,0
2708,100,-3,1,21,255,0
2712,100,-3,1,21,255,0
2716,100,-3,1,21,255,0
2720,100,-3,1,21,255,0
2724,100,-3,1,21,255,0
2728,100,-3,1,21,255,0
2732,100,1,0,20,255,0
2736,100,0,0,20,255,0
2740,100,0,0,20,255,0
2744,100,0,0,20,255,0
2748,100,0,0,20,255,0
2752,100,0,0,20,255,0
2756,100,0,0,20,255,0
2760,100,0,0,20,255,0
2764,100,0,0,20,255,0
2768,100,0,0,20,255,0
2772,100,0,0,20,255,0
2776,100,0,0,20,255,0
2780,100,0,0,20,255,0
2784,100,0,0,20,255,0
2788,100,0,0,20,255,0
2792,100,0,0,20,255,0
2796,100,0,0,20,255,0
2800,100,0,0,20,255,0
2804,100,0,0,20,255,0
2808,100,0,0,20,255,0
2812,100,0,0,20,255,0
2816,100,0,0,20,255,0
2820,100,0,0,20,255,0
2824,100,0,0,20,255,0
2828,100,0,0,20,255,0
2832,100,0,0,20,255,0
2836,100,0,0,20,255,0
2840,100,0,0,20,255,0
2844,100,0,0,20,255,0
2848,100,0,0,20,255,0
2852,100,0,0,20,255,0
2856,100,0,0,20,255,0
2860,100,0,0,20,255,0
2864,100,0,0,20,255,0
2868,100,0,0,20,255,0
2872,100,0,0,20,255,0
2876,100,0,0,20,255,0
2880,100,0,0,20,255,0
2884,100,0,0,20,255,0
2888,100,0,0,20,255,0
2892,100,0,0,20,255,0
2896,100,0,0,20,255,0
2900,100,0,0,20,255,0
2904,100,0,0,20,255,0
2908,100,0,0,20,255,0
2912,100,0,0,20,255,0
2916,100,0,0,20,255,0
2920,100,0,0,20,255,0
2924,100,0,0,20,255,0
2928,100,0,0,20,255,0
2932,100,0,0,20,255,0
2936,100,0,0,20,255,0
2940,100,0,0,20,255,0
2944,100,-5,0,21,255,0
2948,100,-3,0,21,255,0
2952,100,-3,0,21,255,0
2956,100,-3,0,21,255,0
2960,100,-3,0,21,255,0
2964,100,-3,0,21,255,0
2968,100,-3,0,21,255,0
2972,100,-3,0,21,255,0
2976,100,-3,0,21,255,0
2980,100,-3,0,21,255,0
2984,100,1,0,20,255,0
2988,100,0,0,20,255,0
2992,100,0,0,20,255,0
2996,100,0,0,20,255,0
3000,100,0,0,20,255,0
3004,100,0,0,20,255,0
3008,100,0,0,20,255,0
3012,100,0,0,20,255,0
3016,100,0,0,20,255,0
3020,100,0,0,20,255,0
3024,100,0,0,20,255,0
3028,100,0,0,20,255,0
3032,100,0,0,20,255,0
3036,100,0,0,20,255,0
3040,100,0,0,20,255,0
3044,100,0,0,20,255,0
3048,100,0,0,20,255,0
3052,100,0,0,20,255,0
3056,100,0,0,20,255,0
3060,100,0,0,20,255,0
3064,100,0,0,20,255,0
3068,100,0,0,20,255,0
3072,100,0,0,20,255,0
3076,100,0,0,20,255,0
3080,100,0,0,20,255,0
3084,100,0,0,20,255,0
3088,100,0,0,20,255,0
3092,100,0,0,20,255,0
3096,100,0,0,20,255,0
3100,100,0,0,20,255,0
3104,100,0,0,20,255,0
3108,100,0,0,20,255,0
3112,100,0,0,20,255,0
3116,100,0,0,20,255,0
3120,100,0,0,20,255,0
3124,100,0,0,20,255,0
3128,100,0,0,20,255,0
3132,100,0,0,20,255,0
3136,100,0,0,20,255,0
3140,100,0,0,20,255,0
3144,100,0,0,20,255,0
3148,100,0,0,20,255,0
3152,100,0,0,20,255,0
3156,100,0,0,20,255,0
3160,100,0,0,20,255,0
3164,100,0,0,20,255,0
3168,100,0,0,20,255,0
3172,100,0,0,20,255,0
3176,100,0,0,20,255,0
3180,100,0,0,20,255,0
3184,100,0,0,20,255,0
3188,100,0,0,20,255,0
3192,100,0,0,20,255,0
3196,100,0,0,20,255,0
3200,100,0,0,20,255,0
3204,100,0,0,20,255,0
3208,100,0,0,20,255,0
3212,100,0,0,20,255,0
3216,100,0,0,20,255,0
3220,100,0,0,20,255,0
3224,100,0,0,20,255,0
3228,100,0,0,20,255,0
3232,100,0,0,20,255,0
3236,100,0,0,20,255,0
3240,100,0,0,20,255,0
3244,100,0,0,20,255,0
3248,100,0,0,20,255,0
3252,100,0,0,20,255,0
3256,100,0,0,20,255,0
3260,100,0,0,20,255,0
3264,100,0,0,20,255,0
3268,100,0,0,20,255,0
3272,100,0,0,20,255,0
3276,100,0,0,20,255,0
3280,100,0,0,20,255,0
3284,100,0,0,20,255,0
3288,100,0,0,20,255,0
3292,100,0,0,20,255,0
3296,100,0,0,20,255,0
3300,100,0,0,20,255,0
3304,100,0,0,20,255,0
3308,100,0,0,20,255,0
3312,100,0,0,20,255,0
3316,100,0,0,20,255,0
3320,100,0,0,20,255,0
